Session_ID,Timestamp,Weekday,Hour,Product_View,Added_to_Cart,Checkout,Purchase
SESS100056,2025-05-21 01:39:00,Wednesday,1,0,0,0,0
SESS100057,2025-06-17 16:42:00,Tuesday,16,1,1,0,0
SESS100058,2025-02-05 00:07:00,Wednesday,0,0,0,0,0
SESS100059,2025-05-22 20:17:00,Thursday,20,1,1,1,1
SESS100060,2025-03-10 07:16:00,Monday,7,0,0,0,0
SESS100061,2025-01-14 18:40:00,Tuesday,18,1,1,1,1
SESS100062,2025-06-14 00:10:00,Saturday,0,1,0,0,0
SESS100063,2025-04-20 16:07:00,Sunday,16,1,0,0,0
SESS100064,2025-02-08 17:53:00,Saturday,17,1,0,0,0
SESS100065,2025-04-21 20:02:00,Monday,20,1,0,0,0
SESS100066,2025-01-12 03:13:00,Sunday,3,1,0,0,0
SESS100067,2025-04-02 05:39:00,Wednesday,5,1,0,0,0
SESS100068,2025-03-02 21:51:00,Sunday,21,1,0,0,0
SESS100069,2025-01-07 21:47:00,Tuesday,21,1,0,0,0
SESS100070,2025-04-16 23:17:00,Wednesday,23,1,0,0,0
SESS100071,2025-04-08 17:54:00,Tuesday,17,1,1,0,0
SESS100072,2025-04-01 01:52:00,Tuesday,1,1,1,1,1
SESS100073,2025-03-27 00:55:00,Thursday,0,1,0,0,0
SESS100074,2025-04-01 04:43:00,Tuesday,4,0,0,0,0
SESS100075,2025-05-19 02:01:00,Monday,2,1,0,0,0
SESS100076,2025-02-16 00:02:00,Sunday,0,1,0,0,0
SESS100077,2025-03-23 05:38:00,Sunday,5,0,0,0,0
SESS100078,2025-01-31 04:57:00,Friday,4,1,1,0,0
SESS100079,2025-01-01 22:23:00,Wednesday,22,1,0,0,0
SESS100080,2025-03-27 02:42:00,Thursday,2,1,0,0,0
SESS100081,2025-03-19 01:42:00,Wednesday,1,1,0,0,0
SESS100082,2025-03-17 20:12:00,Monday,20,1,0,0,0
SESS100083,2025-06-23 21:39:00,Monday,21,1,0,0,0
SESS100084,2025-01-02 01:18:00,Thursday,1,1,0,0,0
SESS100085,2025-06-06 02:29:00,Friday,2,1,0,0,0
SESS100086,2025-05-12 07:50:00,Monday,7,0,0,0,0
SESS100087,2025-02-13 18:18:00,Thursday,18,1,0,0,0
SESS100088,2025-03-27 18:52:00,Thursday,18,1,1,1,1
SESS100089,2025-02-07 16:02:00,Friday,16,1,0,0,0
SESS100090,2025-01-20 06:26:00,Monday,6,0,0,0,0
SESS100091,2025-05-28 22:45:00,Wednesday,22,1,0,0,0
SESS100092,2025-03-04 20:41:00,Tuesday,20,1,0,0,0
SESS100093,2025-01-29 05:14:00,Wednesday,5,1,0,0,0
SESS100094,2025-05-14 06:03:00,Wednesday,6,1,0,0,0
SESS100095,2025-02-02 06:08:00,Sunday,6,1,0,0,0
SESS100096,2025-05-25 02:48:00,Sunday,2,1,0,0,0
SESS100097,2025-05-11 05:53:00,Sunday,5,1,0,0,0
SESS100098,2025-02-11 07:28:00,Tuesday,7,1,1,0,0
SESS100099,2025-05-15 07:40:00,Thursday,7,1,0,0,0
SESS100100,2025-03-15 23:17:00,Saturday,23,1,0,0,0
SESS100101,2025-01-21 20:09:00,Tuesday,20,1,0,0,0
SESS100102,2025-06-30 22:04:00,Monday,22,1,1,1,1
SESS100103,2025-04-19 04:57:00,Saturday,4,1,0,0,0
SESS100104,2025-01-07 04:30:00,Tuesday,4,1,1,0,0
SESS100105,2025-04-18 23:31:00,Friday,23,1,0,0,0
SESS100106,2025-01-09 04:21:00,Thursday,4,1,0,0,0
SESS100107,2025-02-13 06:58:00,Thursday,6,1,0,0,0
SESS100108,2025-01-08 04:37:00,Wednesday,4,1,1,0,0
SESS100109,2025-02-05 06:11:00,Wednesday,6,1,0,0,0
SESS100110,2025-02-25 06:20:00,Tuesday,6,1,0,0,0
SESS100111,2025-03-14 05:16:00,Friday,5,1,0,0,0
SESS100112,2025-05-19 17:22:00,Monday,17,1,1,0,0
SESS100113,2025-01-11 16:15:00,Saturday,16,1,1,1,1
SESS100114,2025-06-21 19:36:00,Saturday,19,1,1,1,1
SESS100115,2025-06-05 19:49:00,Thursday,19,1,0,0,0
SESS100116,2025-01-28 16:59:00,Tuesday,16,1,0,0,0
SESS100117,2025-04-08 04:45:00,Tuesday,4,1,0,0,0
SESS100118,2025-06-10 23:06:00,Tuesday,23,1,1,0,0
SESS100119,2025-01-31 17:22:00,Friday,17,1,0,0,0
SESS100120,2025-01-19 02:00:00,Sunday,2,1,0,0,0
SESS100121,2025-01-29 05:23:00,Wednesday,5,1,0,0,0
SESS100122,2025-02-10 05:11:00,Monday,5,1,0,0,0
SESS100123,2025-03-12 07:29:00,Wednesday,7,1,0,0,0
SESS100124,2025-03-11 02:54:00,Tuesday,2,1,0,0,0
SESS100125,2025-03-14 06:15:00,Friday,6,1,0,0,0
SESS100126,2025-06-22 04:21:00,Sunday,4,1,0,0,0
SESS100127,2025-02-17 07:13:00,Monday,7,1,1,1,1
SESS100128,2025-03-12 16:33:00,Wednesday,16,0,0,0,0
SESS100129,2025-01-22 23:46:00,Wednesday,23,1,0,0,0
SESS100130,2025-03-04 07:41:00,Tuesday,7,1,0,0,0
SESS100131,2025-01-05 18:18:00,Sunday,18,1,0,0,0
SESS100132,2025-03-21 03:30:00,Friday,3,1,1,0,0
SESS100133,2025-05-22 02:22:00,Thursday,2,1,1,1,1
SESS100134,2025-02-20 02:07:00,Thursday,2,1,0,0,0
SESS100135,2025-06-26 21:12:00,Thursday,21,1,0,0,0
SESS100136,2025-06-01 01:06:00,Sunday,1,1,1,1,1
SESS100137,2025-05-17 20:17:00,Saturday,20,1,1,1,1
SESS100138,2025-06-14 07:06:00,Saturday,7,1,0,0,0
SESS100139,2025-05-02 07:28:00,Friday,7,1,0,0,0
SESS100140,2025-03-07 07:07:00,Friday,7,1,0,0,0
SESS100141,2025-01-19 17:09:00,Sunday,17,1,0,0,0
SESS100142,2025-03-19 18:15:00,Wednesday,18,1,0,0,0
SESS100143,2025-06-05 23:49:00,Thursday,23,1,0,0,0
SESS100144,2025-04-25 01:55:00,Friday,1,1,0,0,0
SESS100145,2025-05-26 17:39:00,Monday,17,0,0,0,0
SESS100146,2025-01-26 22:40:00,Sunday,22,1,0,0,0
SESS100147,2025-02-10 23:11:00,Monday,23,1,1,1,1
SESS100148,2025-05-02 01:02:00,Friday,1,1,0,0,0
SESS100149,2025-06-30 06:04:00,Monday,6,1,0,0,0
SESS100150,2025-06-10 22:27:00,Tuesday,22,1,1,1,1
SESS100151,2025-02-06 18:03:00,Thursday,18,1,1,0,0
SESS100152,2025-05-27 01:28:00,Tuesday,1,1,0,0,0
SESS100153,2025-06-30 04:17:00,Monday,4,1,0,0,0
SESS100154,2025-01-21 17:56:00,Tuesday,17,1,1,1,1
SESS100155,2025-06-22 16:48:00,Sunday,16,1,1,1,1
SESS100156,2025-05-02 06:58:00,Friday,6,1,0,0,0
SESS100157,2025-04-23 07:05:00,Wednesday,7,1,0,0,0
SESS100158,2025-03-24 19:54:00,Monday,19,1,0,0,0
SESS100159,2025-05-08 01:42:00,Thursday,1,0,0,0,0
SESS100160,2025-05-21 17:29:00,Wednesday,17,1,1,1,0
SESS100161,2025-05-12 16:42:00,Monday,16,0,0,0,0
SESS100162,2025-04-30 05:03:00,Wednesday,5,1,0,0,0
SESS100163,2025-05-09 06:48:00,Friday,6,1,1,1,1
SESS100164,2025-06-29 07:07:00,Sunday,7,1,0,0,0
SESS100165,2025-03-03 21:19:00,Monday,21,1,0,0,0
SESS100166,2025-01-24 23:53:00,Friday,23,1,0,0,0
SESS100167,2025-01-31 20:31:00,Friday,20,1,1,1,1
SESS100168,2025-05-05 07:15:00,Monday,7,1,1,1,1
SESS100169,2025-02-04 18:17:00,Tuesday,18,1,0,0,0
SESS100170,2025-03-30 00:52:00,Sunday,0,1,0,0,0
SESS100171,2025-06-01 07:55:00,Sunday,7,1,0,0,0
SESS100172,2025-03-31 02:35:00,Monday,2,1,0,0,0
SESS100173,2025-03-24 22:44:00,Monday,22,1,1,0,0
SESS100174,2025-04-16 17:20:00,Wednesday,17,1,0,0,0
SESS100175,2025-04-09 04:42:00,Wednesday,4,1,0,0,0
SESS100176,2025-02-09 07:02:00,Sunday,7,1,0,0,0
SESS100177,2025-03-26 19:55:00,Wednesday,19,1,1,0,0
SESS100178,2025-01-04 20:26:00,Saturday,20,1,0,0,0
SESS100179,2025-01-21 07:50:00,Tuesday,7,0,0,0,0
SESS100180,2025-03-29 04:41:00,Saturday,4,1,1,1,1
SESS100181,2025-03-24 07:55:00,Monday,7,1,0,0,0
SESS100182,2025-03-03 01:14:00,Monday,1,1,0,0,0
SESS100183,2025-01-26 19:28:00,Sunday,19,1,1,1,1
SESS100184,2025-01-16 01:22:00,Thursday,1,1,1,1,1
SESS100185,2025-02-16 21:11:00,Sunday,21,1,0,0,0
SESS100186,2025-06-08 23:31:00,Sunday,23,1,1,1,1
SESS100187,2025-03-07 16:57:00,Friday,16,1,0,0,0
SESS100188,2025-06-23 21:04:00,Monday,21,1,1,1,1
SESS100189,2025-04-20 00:29:00,Sunday,0,1,1,1,1
SESS100190,2025-03-03 04:36:00,Monday,4,1,1,0,0
SESS100191,2025-01-07 04:17:00,Tuesday,4,1,0,0,0
SESS100192,2025-01-14 07:53:00,Tuesday,7,0,0,0,0
SESS100193,2025-03-15 23:38:00,Saturday,23,1,1,1,1
SESS100194,2025-06-18 20:40:00,Wednesday,20,1,0,0,0
SESS100195,2025-01-12 01:50:00,Sunday,1,1,0,0,0
SESS100196,2025-02-03 18:58:00,Monday,18,1,0,0,0
SESS100197,2025-02-14 22:08:00,Friday,22,1,0,0,0
SESS100198,2025-04-05 00:53:00,Saturday,0,1,0,0,0
SESS100199,2025-05-05 01:47:00,Monday,1,0,0,0,0
SESS100200,2025-01-31 06:04:00,Friday,6,1,0,0,0
SESS100201,2025-06-24 04:54:00,Tuesday,4,1,0,0,0
SESS100202,2025-04-12 16:16:00,Saturday,16,1,0,0,0
SESS100203,2025-06-23 00:37:00,Monday,0,1,0,0,0
SESS100204,2025-04-06 19:43:00,Sunday,19,1,1,0,0
SESS100205,2025-05-25 02:58:00,Sunday,2,1,0,0,0
SESS100206,2025-06-13 06:58:00,Friday,6,1,0,0,0
SESS100207,2025-01-30 20:02:00,Thursday,20,1,1,1,1
SESS100208,2025-05-18 20:24:00,Sunday,20,1,0,0,0
SESS100209,2025-06-29 05:37:00,Sunday,5,1,1,1,1
SESS100210,2025-05-07 05:17:00,Wednesday,5,1,0,0,0
SESS100211,2025-04-25 06:15:00,Friday,6,1,1,0,0
SESS100212,2025-05-21 03:03:00,Wednesday,3,1,1,1,0
SESS100213,2025-04-27 18:42:00,Sunday,18,1,0,0,0
SESS100214,2025-01-06 17:50:00,Monday,17,1,0,0,0
SESS100215,2025-05-25 22:04:00,Sunday,22,1,0,0,0
SESS100216,2025-05-31 22:52:00,Saturday,22,1,1,1,1
SESS100217,2025-01-02 00:54:00,Thursday,0,0,0,0,0
SESS100218,2025-02-04 00:51:00,Tuesday,0,1,0,0,0
SESS100219,2025-01-07 20:00:00,Tuesday,20,1,0,0,0
SESS100220,2025-06-01 02:01:00,Sunday,2,1,1,0,0
SESS100221,2025-05-15 19:47:00,Thursday,19,1,0,0,0
SESS100222,2025-04-03 19:28:00,Thursday,19,1,0,0,0
SESS100223,2025-01-13 01:29:00,Monday,1,1,1,0,0
SESS100224,2025-04-14 05:43:00,Monday,5,1,0,0,0
SESS100225,2025-04-24 18:57:00,Thursday,18,1,0,0,0
SESS100226,2025-01-17 20:17:00,Friday,20,1,0,0,0
SESS100227,2025-03-26 04:38:00,Wednesday,4,1,0,0,0
SESS100228,2025-06-05 05:06:00,Thursday,5,1,1,0,0
SESS100229,2025-05-22 22:27:00,Thursday,22,1,1,1,1
SESS100230,2025-04-17 19:20:00,Thursday,19,1,0,0,0
SESS100231,2025-04-06 20:43:00,Sunday,20,1,1,0,0
SESS100232,2025-01-25 05:06:00,Saturday,5,1,1,1,1
SESS100233,2025-05-25 02:42:00,Sunday,2,1,1,0,0
SESS100234,2025-04-19 17:18:00,Saturday,17,1,1,1,1
SESS100235,2025-06-19 07:14:00,Thursday,7,1,1,1,1
SESS100236,2025-03-13 23:51:00,Thursday,23,1,0,0,0
SESS100237,2025-06-09 16:38:00,Monday,16,0,0,0,0
SESS100238,2025-06-28 00:01:00,Saturday,0,1,0,0,0
SESS100239,2025-03-22 02:22:00,Saturday,2,1,0,0,0
SESS100240,2025-05-26 04:04:00,Monday,4,1,0,0,0
SESS100241,2025-01-08 18:47:00,Wednesday,18,1,1,1,1
SESS100242,2025-03-22 02:49:00,Saturday,2,1,0,0,0
SESS100243,2025-01-14 20:10:00,Tuesday,20,1,1,1,1
SESS100244,2025-04-20 07:38:00,Sunday,7,1,1,0,0
SESS100245,2025-01-31 03:27:00,Friday,3,1,0,0,0
SESS100246,2025-06-02 07:33:00,Monday,7,1,1,1,1
SESS100247,2025-01-02 22:19:00,Thursday,22,1,0,0,0
SESS100248,2025-03-08 01:20:00,Saturday,1,1,0,0,0
SESS100249,2025-04-21 21:08:00,Monday,21,1,0,0,0
SESS100250,2025-05-10 03:04:00,Saturday,3,1,0,0,0
SESS100251,2025-04-22 16:29:00,Tuesday,16,0,0,0,0
SESS100252,2025-03-23 05:36:00,Sunday,5,1,0,0,0
SESS100253,2025-03-16 19:25:00,Sunday,19,1,1,0,0
SESS100254,2025-06-09 06:53:00,Monday,6,1,0,0,0
SESS100255,2025-04-22 19:15:00,Tuesday,19,1,1,1,0
SESS100256,2025-03-28 23:21:00,Friday,23,1,1,1,1
SESS100257,2025-02-20 03:22:00,Thursday,3,1,0,0,0
SESS100258,2025-02-07 23:06:00,Friday,23,1,1,1,1
SESS100259,2025-06-17 18:11:00,Tuesday,18,1,0,0,0
SESS100260,2025-04-30 06:43:00,Wednesday,6,0,0,0,0
SESS100261,2025-05-26 02:55:00,Monday,2,0,0,0,0
SESS100262,2025-03-22 20:28:00,Saturday,20,1,1,1,1
SESS100263,2025-01-16 03:32:00,Thursday,3,1,0,0,0
SESS100264,2025-01-10 17:23:00,Friday,17,1,1,0,0
SESS100265,2025-01-25 04:29:00,Saturday,4,1,0,0,0
SESS100266,2025-01-12 06:58:00,Sunday,6,1,0,0,0
SESS100267,2025-03-25 07:32:00,Tuesday,7,1,1,1,0
SESS100268,2025-03-29 18:32:00,Saturday,18,1,1,1,0
SESS100269,2025-05-15 21:23:00,Thursday,21,1,1,1,1
SESS100270,2025-06-03 17:50:00,Tuesday,17,1,1,1,1
SESS100271,2025-04-10 01:16:00,Thursday,1,1,0,0,0
SESS100272,2025-06-04 20:21:00,Wednesday,20,1,0,0,0
SESS100273,2025-04-01 01:41:00,Tuesday,1,1,0,0,0
SESS100274,2025-06-02 18:19:00,Monday,18,1,0,0,0
SESS100275,2025-03-26 20:42:00,Wednesday,20,1,0,0,0
SESS100276,2025-06-25 18:41:00,Wednesday,18,1,0,0,0
SESS100277,2025-01-06 03:19:00,Monday,3,1,1,0,0
SESS100278,2025-05-05 22:14:00,Monday,22,0,0,0,0
SESS100279,2025-02-09 18:18:00,Sunday,18,1,1,0,0
SESS100280,2025-05-15 17:42:00,Thursday,17,1,0,0,0
SESS100281,2025-02-04 04:09:00,Tuesday,4,1,0,0,0
SESS100282,2025-06-09 21:46:00,Monday,21,1,0,0,0
SESS100283,2025-06-23 23:28:00,Monday,23,1,0,0,0
SESS100284,2025-04-25 23:34:00,Friday,23,1,0,0,0
SESS100285,2025-05-01 22:23:00,Thursday,22,1,0,0,0
SESS100286,2025-04-24 06:49:00,Thursday,6,1,0,0,0
SESS100287,2025-05-17 05:10:00,Saturday,5,1,0,0,0
SESS100288,2025-02-06 00:03:00,Thursday,0,1,0,0,0
SESS100289,2025-05-22 19:45:00,Thursday,19,1,0,0,0
SESS100290,2025-03-14 18:48:00,Friday,18,1,1,1,1
SESS100291,2025-01-24 23:52:00,Friday,23,1,1,1,1
SESS100292,2025-05-10 03:15:00,Saturday,3,1,1,1,1
SESS100293,2025-01-27 02:50:00,Monday,2,1,1,0,0
SESS100294,2025-05-01 20:48:00,Thursday,20,1,0,0,0
SESS100295,2025-01-02 18:01:00,Thursday,18,1,0,0,0
SESS100296,2025-05-22 05:07:00,Thursday,5,1,1,1,1
SESS100297,2025-06-14 06:04:00,Saturday,6,1,0,0,0
SESS100298,2025-06-02 16:40:00,Monday,16,1,1,1,1
SESS100299,2025-06-08 03:15:00,Sunday,3,1,1,0,0
SESS100300,2025-05-16 03:04:00,Friday,3,0,0,0,0
SESS100301,2025-05-20 16:24:00,Tuesday,16,0,0,0,0
SESS100302,2025-01-13 04:23:00,Monday,4,1,1,0,0
SESS100303,2025-03-30 23:46:00,Sunday,23,1,1,1,1
SESS100304,2025-02-04 17:22:00,Tuesday,17,1,0,0,0
SESS100305,2025-02-15 06:44:00,Saturday,6,1,1,1,1
SESS100306,2025-04-28 17:18:00,Monday,17,1,0,0,0
SESS100307,2025-01-12 02:59:00,Sunday,2,1,0,0,0
SESS100308,2025-05-21 07:16:00,Wednesday,7,1,0,0,0
SESS100309,2025-03-16 03:55:00,Sunday,3,1,0,0,0
SESS100310,2025-03-27 00:07:00,Thursday,0,1,0,0,0
SESS100311,2025-04-14 06:57:00,Monday,6,0,0,0,0
SESS100312,2025-03-28 21:31:00,Friday,21,1,1,0,0
SESS100313,2025-03-10 18:46:00,Monday,18,1,0,0,0
SESS100314,2025-02-17 01:20:00,Monday,1,1,1,1,1
SESS100315,2025-04-20 21:44:00,Sunday,21,1,0,0,0
SESS100316,2025-04-02 05:17:00,Wednesday,5,1,0,0,0
SESS100317,2025-01-15 18:42:00,Wednesday,18,1,1,0,0
SESS100318,2025-06-23 21:01:00,Monday,21,1,0,0,0
SESS100319,2025-04-23 17:08:00,Wednesday,17,1,0,0,0
SESS100320,2025-04-05 03:24:00,Saturday,3,1,1,1,1
SESS100321,2025-04-06 03:28:00,Sunday,3,1,0,0,0
SESS100322,2025-05-17 03:25:00,Saturday,3,1,1,0,0
SESS100323,2025-01-07 21:31:00,Tuesday,21,1,0,0,0
SESS100324,2025-02-01 00:49:00,Saturday,0,1,0,0,0
SESS100325,2025-06-07 01:44:00,Saturday,1,1,0,0,0
SESS100326,2025-02-01 20:54:00,Saturday,20,1,1,1,0
SESS100327,2025-06-25 02:42:00,Wednesday,2,1,1,1,0
SESS100328,2025-02-10 21:50:00,Monday,21,1,1,0,0
SESS100329,2025-02-05 23:50:00,Wednesday,23,1,1,1,1
SESS100330,2025-05-22 20:39:00,Thursday,20,1,1,1,1
SESS100331,2025-05-04 05:49:00,Sunday,5,1,0,0,0
SESS100332,2025-02-03 02:41:00,Monday,2,1,0,0,0
SESS100333,2025-05-14 03:08:00,Wednesday,3,0,0,0,0
SESS100334,2025-05-22 21:49:00,Thursday,21,1,1,0,0
SESS100335,2025-01-15 19:33:00,Wednesday,19,1,1,1,1
SESS100336,2025-03-31 01:54:00,Monday,1,1,1,0,0
SESS100337,2025-03-12 20:40:00,Wednesday,20,1,0,0,0
SESS100338,2025-05-09 21:37:00,Friday,21,1,1,1,1
SESS100339,2025-06-05 02:53:00,Thursday,2,0,0,0,0
SESS100340,2025-01-11 16:05:00,Saturday,16,1,0,0,0
SESS100341,2025-05-29 00:41:00,Thursday,0,1,0,0,0
SESS100342,2025-06-08 16:31:00,Sunday,16,1,0,0,0
SESS100343,2025-06-15 01:30:00,Sunday,1,1,0,0,0
SESS100344,2025-04-15 01:29:00,Tuesday,1,1,1,1,1
SESS100345,2025-02-23 02:38:00,Sunday,2,1,0,0,0
SESS100346,2025-03-24 03:25:00,Monday,3,1,0,0,0
SESS100347,2025-05-24 19:20:00,Saturday,19,1,1,1,1
SESS100348,2025-01-14 01:24:00,Tuesday,1,0,0,0,0
SESS100349,2025-04-18 23:55:00,Friday,23,1,0,0,0
SESS100350,2025-05-29 02:12:00,Thursday,2,1,0,0,0
SESS100351,2025-05-13 06:31:00,Tuesday,6,0,0,0,0
SESS100352,2025-05-08 16:05:00,Thursday,16,0,0,0,0
SESS100353,2025-05-11 06:15:00,Sunday,6,1,1,1,1
SESS100354,2025-06-18 07:18:00,Wednesday,7,1,0,0,0
SESS100355,2025-04-21 20:56:00,Monday,20,1,1,1,1
SESS100356,2025-01-14 22:23:00,Tuesday,22,1,1,1,1
SESS100357,2025-03-13 19:08:00,Thursday,19,1,1,0,0
SESS100358,2025-03-29 03:48:00,Saturday,3,1,0,0,0
SESS100359,2025-04-13 17:02:00,Sunday,17,1,0,0,0
SESS100360,2025-05-03 06:09:00,Saturday,6,1,0,0,0
SESS100361,2025-03-26 02:10:00,Wednesday,2,1,0,0,0
SESS100362,2025-03-19 02:32:00,Wednesday,2,1,0,0,0
SESS100363,2025-05-26 01:30:00,Monday,1,1,0,0,0
SESS100364,2025-06-22 19:26:00,Sunday,19,1,0,0,0
SESS100365,2025-06-26 16:38:00,Thursday,16,1,0,0,0
SESS100366,2025-05-29 23:46:00,Thursday,23,1,0,0,0
SESS100367,2025-05-16 04:09:00,Friday,4,1,1,1,1
SESS100368,2025-02-18 16:28:00,Tuesday,16,1,1,0,0
SESS100369,2025-04-17 07:55:00,Thursday,7,1,0,0,0
SESS100370,2025-06-30 20:33:00,Monday,20,1,1,1,1
SESS100371,2025-03-22 21:29:00,Saturday,21,1,1,1,1
SESS100372,2025-06-25 00:39:00,Wednesday,0,1,0,0,0
SESS100373,2025-03-14 01:14:00,Friday,1,1,0,0,0
SESS100374,2025-03-15 22:44:00,Saturday,22,1,1,1,1
SESS100375,2025-03-13 01:07:00,Thursday,1,1,0,0,0
SESS100376,2025-04-13 03:49:00,Sunday,3,1,1,1,1
SESS100377,2025-03-31 06:41:00,Monday,6,1,0,0,0
SESS100378,2025-02-22 00:59:00,Saturday,0,1,1,1,1
SESS100379,2025-03-03 23:03:00,Monday,23,1,0,0,0
SESS100380,2025-06-13 23:03:00,Friday,23,1,1,1,1
SESS100381,2025-02-05 16:35:00,Wednesday,16,0,0,0,0
SESS100382,2025-02-11 05:41:00,Tuesday,5,0,0,0,0
SESS100383,2025-05-03 07:41:00,Saturday,7,1,0,0,0
SESS100384,2025-03-25 01:41:00,Tuesday,1,1,0,0,0
SESS100385,2025-06-16 23:34:00,Monday,23,1,0,0,0
SESS100386,2025-01-10 21:26:00,Friday,21,1,1,0,0
SESS100387,2025-04-13 07:11:00,Sunday,7,0,0,0,0
SESS100388,2025-03-16 17:00:00,Sunday,17,1,0,0,0
SESS100389,2025-03-28 01:29:00,Friday,1,0,0,0,0
SESS100390,2025-05-21 07:56:00,Wednesday,7,0,0,0,0
SESS100391,2025-05-11 06:17:00,Sunday,6,1,1,1,1
SESS100392,2025-03-07 21:00:00,Friday,21,1,0,0,0
SESS100393,2025-05-26 22:11:00,Monday,22,1,0,0,0
SESS100394,2025-04-15 05:32:00,Tuesday,5,1,0,0,0
SESS100395,2025-01-25 21:08:00,Saturday,21,1,0,0,0
SESS100396,2025-01-03 00:24:00,Friday,0,1,0,0,0
SESS100397,2025-03-27 01:37:00,Thursday,1,1,1,0,0
SESS100398,2025-06-27 23:03:00,Friday,23,1,0,0,0
SESS100399,2025-02-11 04:43:00,Tuesday,4,1,0,0,0
SESS100400,2025-07-01 01:44:00,Tuesday,1,1,0,0,0
SESS100401,2025-03-18 03:39:00,Tuesday,3,1,0,0,0
SESS100402,2025-05-03 20:29:00,Saturday,20,1,0,0,0
SESS100403,2025-04-18 07:48:00,Friday,7,1,0,0,0
SESS100404,2025-02-25 23:43:00,Tuesday,23,1,0,0,0
SESS100405,2025-01-22 06:33:00,Wednesday,6,1,1,1,1
SESS100406,2025-05-21 22:36:00,Wednesday,22,1,1,0,0
SESS100407,2025-04-24 19:43:00,Thursday,19,1,0,0,0
SESS100408,2025-01-25 06:51:00,Saturday,6,1,1,1,1
